sample_id,label,system_profile,plaintext_byte0,trace_mean,trace_median,trace_variance,trace_std,trace_min,trace_max,trace_skewness,trace_kurtosis,trace_energy,trace_peak_to_peak,trace_q25,trace_q75,cipher_mean,cipher_variance,cipher_std,cipher_entropy,cipher_unique_ratio,cipher_max_symbol_prob,cipher_zero_ratio,cipher_adjacent_equal_ratio,cipher_autocorr1
27,1,Weak-ECB/Leaky,110,0.17220934,-0.108058676,2.6451297,1.6263855,-2.9511845,8.311549,1.894161,5.480982,2.6747859,11.262733,-0.7971037,0.70116997,133.5625,4670.12109375,68.33828424646028,4.0,0.0625,0.0625,0.0,0.0,-0.1587111966174122
28,1,Weak-ECB/Leaky,113,0.42776346,0.19859082,2.9080338,1.7052958,-2.9115658,7.0772014,1.8540744,4.5204864,3.0910156,9.988768,-0.621246,0.9306786,153.875,6060.484375,77.84911287227364,4.0,0.0625,0.0625,0.0,0.0,-0.10015568249642628
29,0,CBC/Low-Leakage,99,0.0390665,-0.019074844,1.0479021,1.0236709,-2.7582405,3.1780372,0.23545572,0.07697368,1.0494282,5.9362774,-0.6475763,0.7134444,121.625,6800.984375,82.46808094650923,4.687499999999999,0.10546875,0.0625,0.0,0.0,-0.21794834695514573
30,1,Weak-ECB/Leaky,131,0.29456776,0.08570138,2.5829477,1.6071552,-2.4657269,6.9568,1.9191535,4.994412,2.6697178,9.422527,-0.5935433,0.7310105,130.4375,5415.49609375,73.59005431272625,4.0,0.0625,0.0625,0.0,0.0,0.238987012959905
31,1,Weak-ECB/Leaky,210,0.50188696,0.017870918,4.6298966,2.1517196,-2.6284313,10.272134,2.5068035,7.0296507,4.8817873,12.900565,-0.66211104,0.8615849,143.875,4180.859375,64.65956522433476,4.0,0.0625,0.0625,0.0,0.0,-0.26421913355917337
32,1,Weak-ECB/Leaky,233,0.7072067,0.06520407,5.7219286,2.3920553,-3.044504,11.49188,2.647908,7.71756,6.22207,14.536385,-0.6016434,0.97418827,171.625,4972.984375,70.51939006401005,4.0,0.0625,0.0625,0.0,0.0,0.11148249922532105
33,1,Weak-ECB/Leaky,182,0.31973374,0.014600276,2.6238022,1.6198155,-3.1596467,7.7491336,1.5635484,4.208848,2.7260318,10.90878,-0.6553691,1.0876224,130.3125,7993.46484375,89.40617900206898,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.168470679668635
34,0,CBC/Low-Leakage,85,0.026142128,-0.038804762,0.9881119,0.99403816,-2.8481584,2.7528238,0.25618136,-0.109075546,0.98879534,5.600982,-0.6760001,0.6800575,123.125,5726.609375,75.6743640541498,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.013708532643420918
35,0,CBC/Low-Leakage,192,0.022353634,0.040062517,1.1198366,1.0582234,-2.7974653,3.063621,0.00798393,-0.20005226,1.1203363,5.8610864,-0.71401906,0.7718651,124.34375,5890.4130859375,76.7490266123128,4.874999999999998,0.1171875,0.0625,0.0,0.0,0.15107380446057977
36,0,CBC/Low-Leakage,142,0.0647886,0.0012346624,1.050039,1.0247141,-2.4551306,3.0414734,0.079003334,-0.12057114,1.0542367,5.496604,-0.60595673,0.82601464,127.34375,6177.1005859375,78.59453279928255,4.874999999999999,0.1171875,0.0625,0.0,0.0,-0.05907095222028665
37,1,Weak-ECB/Leaky,191,0.51968724,0.34843966,2.5667996,1.6021235,-3.9099348,7.018262,1.3468405,3.632092,2.8368745,10.928197,-0.38314077,1.1835587,125.25,4080.6875,63.88025907899873,4.0,0.0625,0.0625,0.0,0.0,0.16009402175867493
38,0,CBC/Low-Leakage,10,-0.056888796,-0.00406137,1.0103307,1.0051521,-3.419784,2.4791272,-0.26475012,0.39478683,1.013567,5.8989115,-0.5864835,0.6460113,163.5,6015.6875,77.56086319787835,4.749999999999999,0.109375,0.0625,0.0,0.0,0.030692996150382453
39,0,CBC/Low-Leakage,239,0.059905242,0.0003073453,1.0733514,1.0360267,-2.5635278,2.86741,0.22305518,-0.18037081,1.0769401,5.430938,-0.67325115,0.71232045,129.90625,6232.0849609375,78.94355553772264,4.72640976555739,0.109375,0.09375,0.03125,0.0,-0.24351185948445397
40,0,CBC/Low-Leakage,207,0.14245148,0.11763385,1.0321993,1.0159721,-2.5342493,2.5704868,0.034663215,-0.44114184,1.0524917,5.1047363,-0.5672614,0.81780887,126.0625,6394.87109375,79.96793791107784,4.874999999999999,0.1171875,0.0625,0.0,0.0,-0.19028395874360274
41,0,CBC/Low-Leakage,198,-0.010152913,-0.15995029,0.9232404,0.960854,-2.5824244,2.7767506,0.3017881,-0.20043945,0.92334354,5.3591747,-0.6961427,0.65131724,124.53125,5684.2490234375,75.39395879934612,4.874999999999999,0.1171875,0.0625,0.0,0.0,-0.2049292734559215
42,0,CBC/Low-Leakage,191,0.09240405,0.12155704,1.0111651,1.0055671,-2.7215595,2.7881947,-0.15132935,-0.12221575,1.0197037,5.509754,-0.49498254,0.749233,130.75,3790.6875,61.56855934647164,5.0,0.125,0.03125,0.0,0.0,0.1080527115708751
43,1,Weak-ECB/Leaky,55,0.09162286,0.008384719,1.170779,1.0820254,-2.3582785,2.982111,0.3114902,-0.19530559,1.1791737,5.3403893,-0.69113934,0.7432884,116.625,2867.359375,53.54772987718527,3.8750000000000004,0.05859375,0.125,0.0,0.0,-0.21148520526121847
44,1,Weak-ECB/Leaky,24,0.18638754,0.05978622,1.3362274,1.155953,-2.365064,4.9914513,0.8123037,1.3892775,1.3709679,7.356515,-0.62565166,0.85137546,134.125,4989.609375,70.63716709353511,4.0,0.0625,0.0625,0.0,0.0,-0.097622122248901
45,0,CBC/Low-Leakage,30,-0.0489098,-0.033698935,1.069303,1.0340711,-3.0084772,2.6070507,-0.15381527,-0.10467911,1.0716952,5.615528,-0.7443396,0.6383634,102.375,5364.171875,73.24050706405575,4.874999999999998,0.1171875,0.0625,0.0,0.0,-0.03170331738343451
46,0,CBC/Low-Leakage,238,0.07546582,0.04312056,1.096148,1.0469708,-2.6580307,2.9365819,-0.04040486,-0.09973955,1.1018431,5.5946126,-0.57268834,0.84243035,145.40625,5741.1787109375,75.77056625720505,4.812499999999998,0.11328125,0.0625,0.0,0.0,-0.24577495189942128
47,0,CBC/Low-Leakage,52,0.079556346,0.061675884,0.97017443,0.9849743,-2.5222707,3.0100317,0.21435338,0.13814378,0.9765036,5.5323024,-0.5550478,0.6720723,111.40625,7237.1787109375,85.07160931202313,4.874999999999999,0.1171875,0.0625,0.0,0.03225806451612903,0.2919285358115066
48,0,CBC/Low-Leakage,157,0.07662727,0.1478026,1.1467733,1.070875,-3.0802922,3.0486305,-0.11956512,-0.03281951,1.1526451,6.1289225,-0.64043516,0.7277221,137.21875,3504.4833984375,59.198677336892416,4.874999999999998,0.1171875,0.0625,0.0,0.0,-0.3894214812333108
49,0,CBC/Low-Leakage,253,0.21138649,0.35256475,1.0472832,1.0233686,-2.5398772,2.83153,-0.33309314,-0.20314908,1.0919673,5.3714075,-0.39531273,0.9337183,118.15625,5973.6318359375,77.28927374440454,4.937499999999999,0.12109375,0.0625,0.0,0.0,0.07583274920345917
50,1,Weak-ECB/Leaky,185,0.56052846,0.21821345,3.0460606,1.7452967,-2.7471142,8.413854,1.8200711,5.0478735,3.3602524,11.160968,-0.4593593,1.0955667,145.375,6196.734375,78.71933926933076,4.0,0.0625,0.0625,0.0,0.0,-0.13418583880885115
51,1,Weak-ECB/Leaky,82,0.4816553,0.18114269,3.5444136,1.8826613,-2.2912505,9.604837,2.1694968,6.238285,3.7764053,11.896088,-0.47828132,0.85321254,146.5625,4305.12109375,65.61342159764266,3.8750000000000004,0.05859375,0.125,0.0,0.0,-0.27608277359369116
52,1,Weak-ECB/Leaky,93,0.27635878,0.26753107,1.3390192,1.1571599,-2.21801,4.073709,0.4369655,0.6066568,1.4153934,6.291719,-0.44922125,0.91101027,166.6875,5563.83984375,74.59115124295911,4.0,0.0625,0.0625,0.0,0.0,-0.14874654039467353
53,0,CBC/Low-Leakage,186,0.06656513,0.040638044,1.0998363,1.0487309,-2.6776087,3.3657598,0.10097949,-0.08541036,1.1042671,6.0433683,-0.63676214,0.70086503,109.46875,5253.3740234375,72.48016296503134,4.874999999999999,0.1171875,0.0625,0.0,0.0,-0.026942381547253362
54,1,Weak-ECB/Leaky,233,0.6758833,0.25850722,5.3538113,2.3138304,-2.2884634,12.55793,2.783547,8.737457,5.8106294,14.846394,-0.57210356,0.95201474,171.625,4972.984375,70.51939006401005,4.0,0.0625,0.0625,0.0,0.0,0.11148249922532105
55,0,CBC/Low-Leakage,83,-0.026756406,0.025438402,0.9890077,0.99448866,-2.7358758,2.5052044,-0.014281546,-0.50259924,0.98972356,5.2410803,-0.7890638,0.67000663,118.53125,4147.6240234375,64.40204983878618,4.749999999999999,0.109375,0.0625,0.0,0.0,-0.09234483777291083
56,0,CBC/Low-Leakage,41,0.12346628,0.19963187,1.0711243,1.0349513,-2.7699232,2.3120124,-0.17344934,-0.3875172,1.0863683,5.081936,-0.59296453,0.8907417,101.59375,5248.6162109375,72.44733404989793,4.874999999999998,0.1171875,0.0625,0.0,0.0,-0.5032199244510185
57,1,Weak-ECB/Leaky,125,0.5219049,0.26565582,3.3665605,1.834819,-2.0993946,9.453926,2.0312598,5.435219,3.6389453,11.553321,-0.6137174,0.94777197,105.9375,5987.80859375,77.38093171931959,4.0,0.0625,0.0625,0.0,0.0,0.040902581760911536
58,0,CBC/Low-Leakage,78,0.12350301,0.19371527,1.1853156,1.088722,-3.521059,2.6891577,-0.33454758,0.29904556,1.2005687,6.2102165,-0.5190784,0.86180705,119.5,5865.4375,76.58614430822327,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.1922739958270277
59,1,Weak-ECB/Leaky,248,0.3084032,0.122345135,2.0144272,1.4193052,-3.2338176,5.9842567,1.0837739,2.56954,2.1095397,9.218075,-0.5391849,0.9775992,121.375,5099.359375,71.40979887242366,4.0,0.0625,0.0625,0.0,0.0,-0.2746070923054773
60,0,CBC/Low-Leakage,167,0.20199217,0.18913707,1.0597119,1.0294231,-2.360776,2.8742657,-0.03031864,-0.4217074,1.1005127,5.2350416,-0.4641891,0.94917434,125.625,4834.609375,69.53135533699886,4.937499999999999,0.12109375,0.0625,0.0,0.0,0.0020229989598532345
61,0,CBC/Low-Leakage,63,0.24226311,0.23619948,1.104841,1.0511142,-2.4056025,3.621684,0.27834803,-0.024296522,1.1635323,6.0272865,-0.5080229,0.91594076,130.71875,6303.7021484375,79.39585724984333,4.812499999999998,0.11328125,0.0625,0.0625,0.0,-0.07377753159046607
62,1,Weak-ECB/Leaky,69,0.5605145,0.11007875,4.8049526,2.1920202,-3.0321858,9.403407,2.3362064,6.1026707,5.1191297,12.435593,-0.5945534,1.0633296,122.0625,6087.68359375,78.02360920740594,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.34756054871699904
63,1,Weak-ECB/Leaky,104,0.34627956,0.04944729,2.6118517,1.6161225,-2.7917974,7.1792216,1.8434817,4.954593,2.731761,9.971019,-0.61955565,0.9704446,141.1875,7105.40234375,84.29354864845827,4.0,0.0625,0.0625,0.0,0.0,0.07003035848722082
64,1,Weak-ECB/Leaky,182,0.3620405,0.12755749,2.4194684,1.555464,-2.5430713,6.91188,1.800576,4.6418457,2.5505419,9.454951,-0.48724487,0.8689915,130.3125,7993.46484375,89.40617900206898,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.168470679668635
65,1,Weak-ECB/Leaky,218,-0.04473358,-0.05982001,1.0336747,1.016698,-2.740333,2.2606013,-0.09720053,-0.4968996,1.0356758,5.0009346,-0.6972795,0.6743671,147.8125,3692.77734375,60.768226432486905,4.0,0.0625,0.0625,0.0,0.0,0.4632737429503859
66,0,CBC/Low-Leakage,51,0.058335003,0.14745966,1.0578606,1.0285236,-3.3741922,2.2418942,-0.37065566,-0.04332733,1.0612636,5.6160865,-0.5825192,0.7540881,123.46875,6332.8115234375,79.57896407617719,4.937499999999999,0.12109375,0.0625,0.0,0.0,-0.2316517723434457
67,1,Weak-ECB/Leaky,93,0.24356125,0.1971415,1.3392684,1.1572677,-2.6458495,4.10012,0.47181737,0.32780457,1.3985904,6.74597,-0.6628679,0.9409785,166.6875,5563.83984375,74.59115124295911,4.0,0.0625,0.0625,0.0,0.0,-0.14874654039467353
68,0,CBC/Low-Leakage,136,-0.039810363,-0.012479805,0.8967154,0.94695055,-2.895241,2.5356834,-0.026704427,-0.06412506,0.8983003,5.4309244,-0.7322924,0.5662264,130.78125,6002.1083984375,77.47327538214387,4.937499999999999,0.12109375,0.0625,0.0,0.0,-0.20574172385192388
69,1,Weak-ECB/Leaky,71,0.28090864,0.08923492,1.829134,1.3524548,-2.8043709,6.304484,1.3997422,3.9267135,1.9080436,9.108854,-0.4545617,0.8137218,139.0,6013.875,77.54917794535284,4.0,0.0625,0.0625,0.0,0.0,-0.0569499745225459
70,0,CBC/Low-Leakage,147,0.07389732,0.11365689,1.0422989,1.0209304,-2.341084,2.2431338,-0.05357831,-0.6357417,1.0477598,4.584218,-0.6636127,0.85678226,126.09375,6244.2724609375,79.02070906374797,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.5946023972630057
71,1,Weak-ECB/Leaky,53,0.46236336,0.16692504,3.418743,1.8489842,-3.1422408,9.083843,2.0165203,5.7830114,3.6325226,12.226084,-0.57631695,0.9128416,117.9375,5654.68359375,75.19763024025424,4.0,0.0625,0.0625,0.0,0.0,-0.08557302256649797
72,1,Weak-ECB/Leaky,217,0.35006613,0.089984596,2.6041446,1.6137363,-2.3833811,6.738825,1.7473415,3.8043466,2.726691,9.122206,-0.6462339,0.8846133,110.125,5530.484375,74.36722648452071,4.0,0.0625,0.0625,0.0,0.0,-0.10985166109922977
73,1,Weak-ECB/Leaky,89,0.607241,0.31975338,3.4119606,1.8471494,-2.2475193,9.404871,2.1898375,6.1172047,3.780702,11.6523905,-0.47262365,0.95576984,147.8125,4405.52734375,66.37414665176495,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.2954385675132953
74,1,Weak-ECB/Leaky,66,0.44169176,0.2038889,2.6321597,1.6223933,-2.1521788,7.8336477,1.9043592,5.003927,2.8272514,9.9858265,-0.5080944,0.952685,143.375,5256.734375,72.50334044028592,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.3549680816649986
75,0,CBC/Low-Leakage,67,0.1226909,0.14329758,1.0859671,1.0420974,-2.5102046,2.9143033,0.021096596,0.019119978,1.1010201,5.424508,-0.48963824,0.8035574,112.9375,4237.37109375,65.0950927009863,4.874999999999998,0.1171875,0.0625,0.0,0.0,0.009197892897391088
76,1,Weak-ECB/Leaky,102,0.3022998,0.23581642,1.3995191,1.1830127,-2.5419817,4.5082927,0.71923584,0.83801913,1.4909042,7.0502744,-0.574052,0.943665,147.75,3881.1875,62.299177362145,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.43441660558816236
77,1,Weak-ECB/Leaky,33,0.34862792,0.072034895,3.4660208,1.8617252,-3.6377823,8.798974,2.0542421,5.931699,3.5875626,12.436756,-0.65172327,0.76602876,161.125,4288.484375,65.48652055957776,4.0,0.0625,0.0625,0.0,0.0,0.1275340991707765
78,1,Weak-ECB/Leaky,255,0.66746426,0.19226575,4.571417,2.1380873,-2.7452533,10.666783,2.4239988,6.824745,5.016926,13.412037,-0.5795057,1.1662035,81.0625,3507.93359375,59.22781098225731,4.0,0.0625,0.0625,0.0625,0.0,-0.049527818105159764
79,1,Weak-ECB/Leaky,239,0.38140702,0.28136957,1.9786639,1.40665,-2.5187304,6.250892,1.2249416,3.0197453,2.1241353,8.769623,-0.5144118,0.97669834,140.125,5954.109375,77.1628756268194,3.8750000000000004,0.05859375,0.125,0.0,0.0,0.23325879796977367
80,1,Weak-ECB/Leaky,50,0.49480575,0.19590542,3.7438815,1.9349113,-2.4844296,9.339863,2.3025198,6.8949995,3.9887137,11.824292,-0.4966168,0.91706216,124.1875,5784.65234375,76.05690201257214,4.0,0.0625,0.0625,0.0,0.0,-0.016212959015250127
81,0,CBC/Low-Leakage,183,-0.024300376,-0.019161468,0.9648634,0.9822746,-2.6122935,3.0622172,0.25229773,0.4015689,0.965454,5.674511,-0.70038456,0.55776465,125.34375,5598.6005859375,74.82379692275379,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.10207326025326001
82,0,CBC/Low-Leakage,23,0.08414462,0.10469561,1.137123,1.0663596,-2.4619646,2.7383306,0.018321307,-0.40655136,1.1442032,5.2002954,-0.6527531,0.842867,150.28125,5598.5771484375,74.82364030463567,4.937499999999999,0.12109375,0.0625,0.0,0.0,0.015723666413692654
83,1,Weak-ECB/Leaky,87,0.6141312,0.27527902,3.1891818,1.785828,-2.5757723,7.9383802,1.9882711,5.0971518,3.566339,10.514153,-0.41431367,1.2354195,106.625,4279.359375,65.41681263253354,4.0,0.0625,0.0625,0.0,0.0,-0.03349588105862039
84,1,Weak-ECB/Leaky,197,0.46513605,0.13075553,3.725449,1.9301423,-3.3016,9.620201,2.061959,5.890438,3.9418006,12.921801,-0.6107728,1.0773855,124.5,4064.0,63.74950980203691,4.0,0.0625,0.0625,0.0,0.0,-0.33707237437328985
85,0,CBC/Low-Leakage,105,0.081835166,0.14756592,0.9848554,0.9923988,-3.0427694,3.339528,0.009846067,0.45110846,0.99155235,6.3822975,-0.60303605,0.7571294,116.25,6092.6875,78.05566923676973,4.812499999999999,0.11328125,0.0625,0.0,0.0,-0.3482093343731285
86,0,CBC/Low-Leakage,195,0.13250092,0.21266526,1.0646684,1.0318277,-2.6058457,3.0200772,-0.14867242,-0.31268,1.0822248,5.625923,-0.6111008,0.9317585,97.65625,5932.4130859375,77.0221597070447,4.874999999999998,0.1171875,0.0625,0.03125,0.0,-0.10828490857874375
87,0,CBC/Low-Leakage,193,0.08430104,-0.005959502,1.160115,1.0770863,-3.6553216,3.2758615,0.08622606,-0.009050846,1.1672218,6.931183,-0.6227145,0.81642145,136.78125,5461.2958984375,73.90058117794135,4.937499999999999,0.12109375,0.0625,0.0,0.0,-0.2746748873070411
88,1,Weak-ECB/Leaky,57,0.39133897,0.23343675,2.0957499,1.4476705,-3.2636464,5.211754,0.5941374,0.9384334,2.2488961,8.4754,-0.5336598,1.0171711,137.375,7670.734375,87.58272874830973,3.75,0.0546875,0.125,0.0,0.0,-0.13927430730338064
89,1,Weak-ECB/Leaky,187,0.41380817,0.22725429,2.749775,1.6582445,-2.8522236,7.8794956,1.9057486,5.64692,2.9210122,10.731719,-0.515926,0.97094977,160.9375,7848.30859375,88.59068006144891,3.8749999999999996,0.05859375,0.125,0.0,0.0,-0.5733548510591344
90,1,Weak-ECB/Leaky,38,0.38831586,0.16402385,2.5780618,1.6056345,-2.9772332,7.1738725,1.7051913,4.350582,2.7288508,10.151106,-0.5680338,0.97934353,114.5,4331.5,65.81413222097515,4.0,0.0625,0.0625,0.0,0.0,0.05091466494310792
91,0,CBC/Low-Leakage,211,0.031048298,0.006810127,0.9739861,0.98690736,-3.407491,3.067038,0.03666125,0.7759867,0.9749501,6.4745293,-0.5239442,0.6099856,133.0,6908.1875,83.1155069767369,5.0,0.125,0.03125,0.0,0.0,-0.05179266228639096
92,1,Weak-ECB/Leaky,218,-0.04061746,-0.10369011,1.0874165,1.0427927,-2.5319622,3.0896556,0.3267294,-0.036661625,1.0890664,5.621618,-0.80595815,0.6091485,147.8125,3692.77734375,60.768226432486905,4.0,0.0625,0.0625,0.0,0.0,0.4632737429503859
